Target Distance: 100, Step Size: 5
116: (x, y) = (20.4, -23.7)
117: (x, y) = (19.2, -18.8)
118: (x, y) = (22.2, -22.8)
119: (x, y) = (18.1, -19.9)
120: (x, y) = (13.2, -18.8)
121: (x, y) = (16.1, -14.8)
122: (x, y) = (17.5, -19.6)
123: (x, y) = (15.1, -23.9)
124: (x, y) = (19.9, -25.4)
125: (x, y) = (14.9, -26)
126: (x, y) = (17.7, -21.9)
127: (x, y) = (14, -25.2)
128: (x, y) = (18.9, -24.6)
129: (x, y) = (17, -20)
130: (x, y) = (17.6, -24.9)
131: (x, y) = (19.6, -20.3)
132: (x, y) = (24.5, -21.2)
133: (x, y) = (19.9, -23.2)
134: (x, y) = (14.9, -22.4)
135: (x, y) = (19.8, -23.5)
136: (x, y) = (24, -26.3)
137: (x, y) = (20.4, -29.8)
138: (x, y) = (21, -34.7)
139: (x, y) = (21, -39.7)
140: (x, y) = (24.6, -36.3)
141: (x, y) = (19.6, -36.3)
142: (x, y) = (18.7, -31.4)
143: (x, y) = (22, -35.2)
144: (x, y) = (26.8, -33.8)
145: (x, y) = (27.5, -38.8)
146: (x, y) = (32.4, -39.9)
147: (x, y) = (33.6, -44.8)
148: (x, y) = (38.2, -42.8)
149: (x, y) = (33.5, -41)
150: (x, y) = (35.6, -45.6)
151: (x, y) = (38.3, -41.4)
152: (x, y) = (33.5, -40.1)
153: (x, y) = (29.4, -37.2)
154: (x, y) = (27.3, -32.7)
155: (x, y) = (31.1, -29.3)
156: (x, y) = (27.6, -32.9)
157: (x, y) = (22.6, -32.1)
158: (x, y) = (19.9, -36.2)
159: (x, y) = (24.8, -36.9)
160: (x, y) = (19.8, -36.6)
161: (x, y) = (18.6, -31.8)
162: (x, y) = (18.6, -26.8)
163: (x, y) = (20.1, -31.6)
164: (x, y) = (22, -27)
165: (x, y) = (26.7, -25.2)
166: (x, y) = (27.1, -30.2)
167: (x, y) = (26.1, -35.1)
168: (x, y) = (24, -39.7)
169: (x, y) = (20.1, -36.6)
170: (x, y) = (15.2, -35.6)
171: (x, y) = (12.7, -40)
172: (x, y) = (14.8, -44.5)
173: (x, y) = (11.2, -41)
174: (x, y) = (11.7, -36)
175: (x, y) = (13.4, -31.4)
176: (x, y) = (14.3, -36.3)
177: (x, y) = (16.6, -40.7)
178: (x, y) = (17.2, -45.7)
179: (x, y) = (12.3, -44.8)
180: (x, y) = (7.82, -42.7)
181: (x, y) = (6.49, -37.8)
182: (x, y) = (1.49, -37.7)
183: (x, y) = (-2.71, -40.4)
184: (x, y) = (2.22, -39.5)
185: (x, y) = (4.14, -44.2)
186: (x, y) = (0.775, -47.9)
187: (x, y) = (2.69, -52.5)
188: (x, y) = (-0.987, -55.9)
189: (x, y) = (4.01, -56.1)
190: (x, y) = (-0.369, -53.7)
191: (x, y) = (-0.745, -58.6)
192: (x, y) = (-4.49, -62)
193: (x, y) = (-7.95, -58.4)
194: (x, y) = (-12.8, -59.4)
195: (x, y) = (-13.6, -64.4)
196: (x, y) = (-18.1, -62.2)
197: (x, y) = (-13.8, -59.7)
198: (x, y) = (-10.8, -55.6)
199: (x, y) = (-14.9, -58.6)
200: (x, y) = (-10.9, -55.5)
201: (x, y) = (-15.1, -52.8)
202: (x, y) = (-15.6, -47.8)
203: (x, y) = (-19.1, -51.4)
204: (x, y) = (-15.4, -48)
205: (x, y) = (-11.9, -44.4)
206: (x, y) = (-15.8, -47.6)
207: (x, y) = (-11.1, -45.8)
208: (x, y) = (-11.4, -50.8)
209: (x, y) = (-7.04, -48.3)
210: (x, y) = (-6.54, -43.4)
211: (x, y) = (-11.5, -43.4)
212: (x, y) = (-7.16, -41)
213: (x, y) = (-11.7, -38.9)
214: (x, y) = (-7.54, -36.2)
215: (x, y) = (-3.6, -39.3)
216: (x, y) = (-0.108, -42.8)
217: (x, y) = (-3.14, -38.9)
218: (x, y) = (-7.38, -36.2)
219: (x, y) = (-3.73, -32.8)
220: (x, y) = (1.21, -33.6)
221: (x, y) = (3.64, -37.9)
222: (x, y) = (6.78, -41.8)
223: (x, y) = (3.19, -38.4)
224: (x, y) = (8.18, -38.7)
225: (x, y) = (10.3, -34.2)
226: (x, y) = (12.1, -38.8)
227: (x, y) = (12.1, -43.8)
228: (x, y) = (17, -44.9)
229: (x, y) = (16.8, -49.9)
230: (x, y) = (13.8, -45.9)
231: (x, y) = (14.6, -50.8)
232: (x, y) = (17.7, -54.8)
233: (x, y) = (17.8, -49.8)
234: (x, y) = (22.7, -48.8)
235: (x, y) = (27.7, -49.7)
236: (x, y) = (31, -53.5)
237: (x, y) = (28.2, -49.3)
238: (x, y) = (25.5, -53.4)
239: (x, y) = (21.5, -56.5)
240: (x, y) = (17.1, -54.3)
241: (x, y) = (17.2, -59.3)
242: (x, y) = (21.1, -56.2)
243: (x, y) = (19.7, -51.3)
244: (x, y) = (23.6, -48.1)
245: (x, y) = (26, -52.6)
246: (x, y) = (29.8, -55.7)
247: (x, y) = (30.5, -60.7)
248: (x, y) = (32.6, -56.1)
249: (x, y) = (33.3, -51.2)
250: (x, y) = (29.1, -54)
251: (x, y) = (24.2, -53.6)
252: (x, y) = (20.3, -50.4)
253: (x, y) = (20.6, -45.4)
254: (x, y) = (16.1, -47.6)
255: (x, y) = (12.5, -44.2)
256: (x, y) = (16.1, -40.7)
257: (x, y) = (18.6, -36.4)
258: (x, y) = (23, -38.8)
259: (x, y) = (21.9, -43.7)
260: (x, y) = (26.1, -46.5)
261: (x, y) = (25.5, -41.5)
262: (x, y) = (20.5, -41.2)
263: (x, y) = (24.7, -38.4)
264: (x, y) = (29.7, -38.2)
265: (x, y) = (32.6, -34.2)
266: (x, y) = (30.9, -38.9)
267: (x, y) = (34.4, -42.5)
268: (x, y) = (31.5, -46.6)
269: (x, y) = (32.5, -41.7)
270: (x, y) = (36.5, -38.7)
271: (x, y) = (37.4, -43.6)
272: (x, y) = (33.3, -46.4)
273: (x, y) = (37.7, -49)
274: (x, y) = (36.2, -53.7)
275: (x, y) = (31.9, -51.1)
276: (x, y) = (31.7, -56.1)
277: (x, y) = (30.2, -51.3)
278: (x, y) = (32.1, -56)
279: (x, y) = (31.8, -51)
280: (x, y) = (32.5, -46)
281: (x, y) = (34.3, -41.3)
282: (x, y) = (30.8, -37.8)
283: (x, y) = (29.3, -42.6)
284: (x, y) = (24.8, -40.5)
285: (x, y) = (28.7, -37.4)
286: (x, y) = (29.8, -42.3)
287: (x, y) = (31.9, -37.7)
288: (x, y) = (35.9, -40.8)
289: (x, y) = (33.4, -36.4)
290: (x, y) = (29.4, -39.4)
291: (x, y) = (24.5, -39.7)
292: (x, y) = (28.6, -37)
293: (x, y) = (27.8, -41.9)
294: (x, y) = (23.8, -45)
295: (x, y) = (27.9, -42.1)
296: (x, y) = (23.5, -44.4)
297: (x, y) = (28.5, -44.2)
298: (x, y) = (24.4, -47.1)
299: (x, y) = (25.1, -42.1)
300: (x, y) = (28, -46.2)
301: (x, y) = (26.5, -51)
302: (x, y) = (27.9, -55.8)
303: (x, y) = (23.2, -54.1)
304: (x, y) = (21, -49.6)
305: (x, y) = (22.5, -44.8)
306: (x, y) = (19.5, -48.8)
307: (x, y) = (17.7, -53.5)
308: (x, y) = (16.7, -48.6)
309: (x, y) = (19.4, -44.4)
310: (x, y) = (15, -46.8)
311: (x, y) = (18.1, -42.9)
312: (x, y) = (15.2, -38.9)
313: (x, y) = (20, -40.3)
314: (x, y) = (15.2, -41.7)
315: (x, y) = (18.9, -38.5)
316: (x, y) = (15.1, -35.3)
317: (x, y) = (18.7, -31.9)
318: (x, y) = (23.7, -31.9)
319: (x, y) = (22.6, -27)
320: (x, y) = (17.8, -25.5)
321: (x, y) = (18.4, -20.5)
322: (x, y) = (13.9, -18.3)
323: (x, y) = (9.13, -19.7)
324: (x, y) = (4.77, -22.1)
325: (x, y) = (2.07, -26.3)
326: (x, y) = (1.39, -21.4)
327: (x, y) = (6.09, -23.1)
328: (x, y) = (1.17, -24)
329: (x, y) = (-3.31, -26.2)
330: (x, y) = (-8.31, -26.3)
331: (x, y) = (-3.31, -26.1)
332: (x, y) = (1.65, -26.8)
333: (x, y) = (6.64, -26.7)
334: (x, y) = (2.82, -29.9)
335: (x, y) = (3.63, -25)
336: (x, y) = (8.62, -25.3)
337: (x, y) = (13.5, -26.5)
338: (x, y) = (8.67, -27.9)
339: (x, y) = (13.6, -28.6)
340: (x, y) = (17.3, -25.2)
341: (x, y) = (19.6, -29.6)
342: (x, y) = (24.4, -28.2)
343: (x, y) = (24.2, -23.2)
344: (x, y) = (21.1, -27.2)
345: (x, y) = (21.1, -32.2)
346: (x, y) = (17.7, -28.6)
347: (x, y) = (15.1, -32.9)
348: (x, y) = (10.6, -35.1)
349: (x, y) = (13.3, -30.9)
350: (x, y) = (12.9, -35.9)
351: (x, y) = (10.1, -40)
352: (x, y) = (8.1, -35.4)
353: (x, y) = (11.5, -39.1)
354: (x, y) = (9.63, -43.7)
355: (x, y) = (5.84, -40.5)
356: (x, y) = (1.98, -37.3)
357: (x, y) = (-0.532, -41.6)
358: (x, y) = (-3.01, -37.3)
359: (x, y) = (-7.79, -38.7)
360: (x, y) = (-2.86, -37.9)
361: (x, y) = (-0.276, -42.1)
362: (x, y) = (-5.01, -43.8)
363: (x, y) = (-0.492, -45.9)
364: (x, y) = (-3.99, -49.5)
365: (x, y) = (-0.62, -53.2)
366: (x, y) = (4.35, -52.6)
367: (x, y) = (2.19, -48.1)
368: (x, y) = (-2.62, -46.8)
369: (x, y) = (1.32, -49.8)
370: (x, y) = (2.13, -44.9)
371: (x, y) = (-0.571, -49.1)
372: (x, y) = (3.11, -52.5)
373: (x, y) = (8.03, -53.4)
374: (x, y) = (4.41, -56.8)
375: (x, y) = (7.22, -52.7)
376: (x, y) = (11.9, -51.1)
377: (x, y) = (8.32, -54.5)
378: (x, y) = (10.4, -59)
379: (x, y) = (10.2, -54)
380: (x, y) = (11.2, -59)
381: (x, y) = (10.9, -54)
382: (x, y) = (15.4, -51.9)
383: (x, y) = (19.1, -55.3)
384: (x, y) = (23.4, -57.8)
385: (x, y) = (18.6, -56.6)
386: (x, y) = (18, -51.7)
387: (x, y) = (16.2, -47)
388: (x, y) = (16.4, -52)
389: (x, y) = (14.7, -47.3)
390: (x, y) = (17.7, -51.3)
391: (x, y) = (13.5, -48.6)
392: (x, y) = (16.3, -52.7)
393: (x, y) = (12.2, -49.9)
394: (x, y) = (7.21, -49.9)
395: (x, y) = (11.2, -46.9)
396: (x, y) = (15.9, -45.1)
397: (x, y) = (18.8, -49.2)
398: (x, y) = (14.4, -46.8)
399: (x, y) = (17.5, -42.9)
400: (x, y) = (17.3, -47.9)
401: (x, y) = (22.2, -48.6)
402: (x, y) = (17.2, -48.8)
403: (x, y) = (22.1, -50.1)
404: (x, y) = (21.7, -55.1)
405: (x, y) = (25.2, -51.5)
406: (x, y) = (29, -48.2)
407: (x, y) = (30.2, -53.1)
408: (x, y) = (25.4, -54.2)
409: (x, y) = (21, -51.9)
410: (x, y) = (25.2, -54.6)
411: (x, y) = (23.1, -50)
412: (x, y) = (21.3, -45.4)
413: (x, y) = (26.2, -46.1)
414: (x, y) = (21.3, -47)
415: (x, y) = (22, -42.1)
416: (x, y) = (26.6, -40)
417: (x, y) = (21.6, -40.2)
418: (x, y) = (24.9, -43.9)
419: (x, y) = (20.1, -42.4)
420: (x, y) = (22, -47.1)
421: (x, y) = (20.9, -52)
422: (x, y) = (25.9, -51.3)
423: (x, y) = (21.2, -49.5)
424: (x, y) = (25.4, -52.3)
425: (x, y) = (28.4, -56.2)
426: (x, y) = (23.6, -57.6)
427: (x, y) = (22.1, -52.8)
428: (x, y) = (20.7, -57.6)
429: (x, y) = (15.8, -56.4)
430: (x, y) = (20.3, -54.2)
431: (x, y) = (21.3, -59.1)
432: (x, y) = (16.7, -57.2)
433: (x, y) = (16.3, -62.2)
434: (x, y) = (20.3, -65.2)
435: (x, y) = (22.5, -60.7)
436: (x, y) = (17.5, -60.6)
437: (x, y) = (14.8, -56.4)
438: (x, y) = (9.95, -55.1)
439: (x, y) = (9.48, -60.1)
440: (x, y) = (5.57, -57)
441: (x, y) = (2.17, -53.3)
442: (x, y) = (4.83, -57.5)
443: (x, y) = (8.1, -61.3)
444: (x, y) = (13, -62.1)
445: (x, y) = (17.5, -59.8)
446: (x, y) = (13.1, -57.5)
447: (x, y) = (13, -62.5)
448: (x, y) = (9.63, -58.8)
449: (x, y) = (14.1, -56.5)
450: (x, y) = (18.2, -59.4)
451: (x, y) = (20.4, -54.9)
452: (x, y) = (16.1, -52.5)
453: (x, y) = (15.8, -47.5)
454: (x, y) = (15.9, -42.5)
455: (x, y) = (13.2, -46.7)
456: (x, y) = (17, -43.5)
457: (x, y) = (15.9, -38.6)
458: (x, y) = (19.7, -41.9)
459: (x, y) = (22.6, -37.9)
460: (x, y) = (19.2, -34.3)
461: (x, y) = (21.3, -38.8)
462: (x, y) = (20.3, -43.7)
463: (x, y) = (15.6, -41.8)
464: (x, y) = (11, -43.6)
465: (x, y) = (11.2, -38.6)
466: (x, y) = (7.13, -35.7)
467: (x, y) = (5.01, -40.2)
468: (x, y) = (0.697, -42.7)
469: (x, y) = (3.9, -46.6)
470: (x, y) = (5.36, -41.8)
471: (x, y) = (8.63, -38)
472: (x, y) = (13.2, -40)
473: (x, y) = (13.1, -45)
474: (x, y) = (10.6, -40.7)
475: (x, y) = (14.8, -43.4)
476: (x, y) = (10.1, -41.8)
477: (x, y) = (6.35, -38.5)
478: (x, y) = (11.3, -38.9)
479: (x, y) = (13.3, -43.5)
480: (x, y) = (17.6, -40.9)
481: (x, y) = (12.7, -41.5)
482: (x, y) = (7.69, -40.9)
483: (x, y) = (4.29, -37.3)
484: (x, y) = (1.08, -41.1)
485: (x, y) = (-2.08, -37.3)
486: (x, y) = (2.83, -36.3)
487: (x, y) = (-0.819, -32.9)
488: (x, y) = (-3.7, -28.8)
489: (x, y) = (-2.85, -33.8)
490: (x, y) = (-6.76, -30.6)
491: (x, y) = (-7.7, -35.6)
492: (x, y) = (-11.8, -38.4)
493: (x, y) = (-12.2, -43.4)
494: (x, y) = (-14.2, -38.8)
495: (x, y) = (-13.2, -43.7)
496: (x, y) = (-15.2, -48.3)
497: (x, y) = (-10.4, -46.7)
498: (x, y) = (-9.02, -51.5)
499: (x, y) = (-9.61, -46.6)
500: (x, y) = (-13.4, -49.9)
501: (x, y) = (-8.35, -49.9)
502: (x, y) = (-8.73, -54.9)
503: (x, y) = (-13.5, -56.5)
504: (x, y) = (-9.07, -54.1)
505: (x, y) = (-10.7, -58.9)
506: (x, y) = (-6.37, -56.3)
507: (x, y) = (-10.2, -53.1)
508: (x, y) = (-14.7, -55.3)
509: (x, y) = (-13.8, -60.2)
510: (x, y) = (-9.63, -62.9)
511: (x, y) = (-12.3, -67.1)
512: (x, y) = (-7.33, -67.1)
513: (x, y) = (-9.37, -62.6)
514: (x, y) = (-12.1, -66.7)
515: (x, y) = (-16.8, -68.7)
516: (x, y) = (-21.6, -69.9)
517: (x, y) = (-26.4, -71.4)
518: (x, y) = (-24.6, -76.1)
519: (x, y) = (-29.6, -76.6)
520: (x, y) = (-24.8, -78)
521: (x, y) = (-22.4, -82.4)
522: (x, y) = (-17.5, -81.7)
523: (x, y) = (-22.4, -80.9)
524: (x, y) = (-20.7, -76.2)
525: (x, y) = (-23.1, -80.7)
526: (x, y) = (-18.2, -81.8)
527: (x, y) = (-14.6, -85.2)
528: (x, y) = (-15.4, -90.2)
529: (x, y) = (-19.2, -86.9)
530: (x, y) = (-24.2, -86.3)
531: (x, y) = (-26.8, -82)
532: (x, y) = (-31.6, -83.4)
533: (x, y) = (-26.6, -83.3)
534: (x, y) = (-31.6, -83.7)
535: (x, y) = (-33.9, -79.3)
536: (x, y) = (-35.3, -84.1)
537: (x, y) = (-37.1, -79.4)
538: (x, y) = (-38.1, -84.3)
539: (x, y) = (-33.9, -87.1)
540: (x, y) = (-35.1, -92)
541: (x, y) = (-39.4, -89.4)
542: (x, y) = (-34.7, -87.7)
543: (x, y) = (-38, -91.4)
544: (x, y) = (-41.2, -87.5)
545: (x, y) = (-45.5, -85)
After 546 steps, the subject has the following location:
(x, y) = (-47.4, -89.7)
 or
(m, a) = (101, -118)
Average outward distance per step = 0.186
